Data;Ora;ARIMA;UCM;ML
2020-09-02;6;2439818.518199636;2426402.4727826123;1761586.6283097395
2020-09-02;7;2615291.35875592;2655541.026397049;2214623.220469286
2020-09-02;8;2963405.0223795013;3027664.201989741;2820187.9059889643
2020-09-02;9;3523584.3755885838;3629617.4690412977;3368495.129469302
2020-09-02;10;3724031.785149892;3862805.963593437;3668859.5009058826
2020-09-02;11;3749793.7615108057;3951977.127501522;3671177.0438136654
2020-09-02;12;3788389.348689117;4047589.366633674;3481745.827093733
2020-09-02;13;3692650.3022326697;3951101.5378042106;3272045.176236736
2020-09-02;14;3606505.449165723;3861737.1258922727;3168551.6783941286
2020-09-02;15;3685317.230005919;3962525.348398154;3211514.3172346847
2020-09-02;16;3754954.604949367;4037218.482248384;3390032.917848801
2020-09-02;17;3918291.677181146;4190370.775778305;3686618.1140757
2020-09-02;18;4127093.159549221;4371597.018944209;4070775.017226371
2020-09-02;19;4441894.341011486;4666803.575008121;4455020.719768021
2020-09-02;20;4588273.88391454;4827680.752783309;4684152.26942639
2020-09-02;21;4743049.058547368;4969822.3343038615;4603586.824021233
2020-09-02;22;4420082.2188143;4551778.576490663;4167364.137189138
2020-09-02;23;3950863.845263285;4072040.3706796328;3490124.962156376
2020-09-02;24;3441479.0541068558;3570644.6940037804;2784637.204170777
2020-09-03;1;2989298.91525058;3089061.073085505;2228111.7839153484
2020-09-03;2;2707293.294168746;2777535.370046017;1868904.325451428
2020-09-03;3;2562225.593730557;2621227.098604198;1650254.0170873064
2020-09-03;4;2491703.0960517083;2557981.1106247087;1519040.3602071514
2020-09-03;5;2468189.561248972;2554644.08149462;1508427.836961165
2020-09-03;6;2525246.2968737623;2629690.0884075155;1710721.17460312
2020-09-03;7;2693462.201728517;2857983.3438016167;2165374.202599029
2020-09-03;8;3037693.0008951407;3228242.8562039826;2772539.91041543
2020-09-03;9;3586483.225549026;3827608.696925495;3322430.593371816
2020-09-03;10;3784379.613844308;4057779.510799208;3624358.75271714
2020-09-03;11;3805311.345535585;4143772.724187271;3628218.347092451
2020-09-03;12;3838861.747025492;4236274.523781635;3440305.4276530696
2020-09-03;13;3742170.50354334;4136915.4452234902;3232097.3524855133
2020-09-03;14;3643324.604935261;4045026.101930592;3130068.7947530597
2020-09-03;15;3707865.238857628;4143675.5703710094;3174466.880568326
2020-09-03;16;3766512.800265534;4216591.610102496;3354389.6368012447
2020-09-03;17;3922167.53794036;4368247.588032171;3652345.96124577
2020-09-03;18;4127720.071407113;4548133.350544778;4037839.294027229
2020-09-03;19;4435165.002358813;4842001.742288674;4423385.123854681
2020-09-03;20;4578210.808338502;5001378.34807981;4653778.964662733
2020-09-03;21;4722154.350348156;5141698.8601468;4574436.512788728
2020-09-03;22;4406146.139177036;4721378.960761806;4139396.134865788
2020-09-03;23;3944730.460629082;4238813.054163565;3463297.273839423
2020-09-03;24;3442088.7526002605;3733990.7995315194;2758906.6033154754
2020-09-04;1;2991501.490979008;3248390.2295195367;2203433.8926808545
2020-09-04;2;2710141.5205260124;2932323.137961266;1845233.6970073455
2020-09-04;3;2566479.744238419;2771068.671852449;1627544.219419795
2020-09-04;4;2499419.8160881205;2702636.071400961;1497244.0611882147
2020-09-04;5;2481207.8892911416;2694067.4651582083;1487496.8909151386
2020-09-04;6;2544973.241252697;2764045.843864687;1690606.7099001142
2020-09-04;7;2719180.180555248;2987637.4092792072;2146026.710192492
2020-09-04;8;3073289.235628242;3353734.442628808;2753909.333429815
2020-09-04;9;3633573.059645049;3949599.899770778;3304466.4171416154
2020-09-04;10;3847181.99600244;4176984.9626949606;3607010.0954032233
2020-09-04;11;3881102.814279898;4260872.555298249;3611434.050827159
2020-09-04;12;3926254.724945401;4351815.315115092;3424034.149756378
2020-09-04;13;3837868.119533416;4251205.047362515;3216287.6568373875
2020-09-04;14;3739102.575079701;4158029.065081446;3114669.2430193126
2020-09-04;15;3803026.158647007;4254916.424190366;3159426.123243649
2020-09-04;16;3858112.007731223;4325073.297151642;3339656.5038251965
2020-09-04;17;4008943.558000545;4472391.97017949;3637869.552076647
2020-09-04;18;4206749.79350447;4645749.87607511;4023569.067016164
2020-09-04;19;4499808.181891001;4930289.111848945;4409270.98479975
2020-09-04;20;4620126.944731814;5076962.4040409895;4639771.354304081
2020-09-04;21;4731644.435513188;5200708.023475172;4560486.4931861255
2020-09-04;22;4384881.9728435865;4759556.448229569;4125455.47451002
2020-09-04;23;3895882.785879702;4251662.937235981;3449318.5312696733
2020-09-04;24;3371360.4461226305;3716952.833777108;2744843.2091817595
2020-09-05;1;2903016.0324831605;3197036.411508352;2189240.2300724545
2020-09-05;2;2604742.054668356;2842567.25273193;1830865.1799636225
2020-09-05;3;2443168.11804023;2639378.7847765763;1612957.369402266
2020-09-05;4;2357894.2470516204;2526239.083416938;1482396.5814629188
2020-09-05;5;2321333.01319124;2471134.557402895;1472347.7386787375
2020-09-05;6;2363230.3088629614;2493847.927648172;1675116.166052518
2020-09-05;7;2507687.36561148;2670660.581472564;2130156.446693899
2020-09-05;8;2818380.672010606;2991746.9050751347;2737622.477853552
2020-09-05;9;3316752.788402792;3545663.783407834;3287727.614730259
2020-09-05;10;3502952.85251312;3735408.92241638;3589785.56832373
2020-09-05;11;3529902.385967196;3787103.763766796;3593691.654319215
2020-09-05;12;3571612.0679493635;3852272.454933893;3405743.425462193
2020-09-05;13;3496854.5774150416;3733056.9378755167;3197419.8829504726
2020-09-05;14;3414460.1994951484;3628926.510678844;3095197.481318671
2020-09-05;15;3483284.556406763;3722687.582314221;3139325.2628242653
2020-09-05;16;3547394.3313879035;3797395.189877024;3318903.301497388
2020-09-05;17;3702594.281439757;3956452.571221535;3616442.669442585
2020-09-05;18;3904323.438044059;4147916.3846555687;4001449.104037485
2020-09-05;19;4196245.575067556;4455798.492927846;4386440.509774985
2020-09-05;20;4328541.979616189;4629649.980387518;4616214.930510115
2020-09-05;21;4450575.273884201;4782788.834303271;4536190.70169279
2020-09-05;22;4139960.668719327;4371472.264766826;4100408.9334702217
2020-09-05;23;3689127.388505176;3892005.308370689;3423511.9115479668
2020-09-05;24;3198692.24509018;3382469.42125893;2718269.246120483
2020-09-06;1;2756212.0279599247;2882724.2924051373;2161893.731918835
2020-09-06;2;2471759.163026579;2541852.971819409;1802743.0321530555
2020-09-06;3;2314669.386352602;2344380.905785799;1584058.5353639198
2020-09-06;4;2228055.6053436766;2228105.001846174;1452722.0996326185
2020-09-06;5;2185830.531188222;2160439.588223668;1441900.7158052844
2020-09-06;6;2215725.957893539;2161041.3520370163;1643901.7667606864
2020-09-06;7;2339277.538262484;2306540.596133856;2098181.879414621
2020-09-06;8;2614885.551554735;2587944.410975356;2704896.9770701616
2020-09-06;9;3059847.514312532;3095113.792316507;3254262.419615369
2020-09-06;10;3214716.318537787;3232788.127251722;3555593.897753112
2020-09-06;11;3223867.2104297867;3229213.5488336976;3558788.6783978967
2020-09-06;12;3248496.148290407;3238348.3073527003;3370146.2335369857
2020-09-06;13;3170687.291278215;3064987.810101883;3161147.448177827
2020-09-06;14;3089637.3015911737;2911371.081463604;3058270.6218826994
2020-09-06;15;3149864.443506487;2963078.435988509;3101766.5998477465
2020-09-06;16;3211212.209461402;3005826.514000793;3280737.2137782103
2020-09-06;17;3361455.3915417884;3145451.8663934786;3577695.244940751
2020-09-06;18;3561955.33031036;3332105.6756234146;3962148.088381023
2020-09-06;19;3854432.2479898087;3651455.406506233;4346615.251875017
2020-09-06;20;4011224.7062851153;3854183.594019037;4575896.325082585
2020-09-06;21;4168523.794033964;4054149.191882944;4495411.129233808
2020-09-06;22;3926969.444136808;3707515.7173159663;4059202.197451577
2020-09-06;23;3549747.1520426194;3309840.210040156;3381913.173055673
2020-09-06;24;3126620.88109226;2897808.077238182;2676314.9562245016
2020-09-07;1;2739773.260616954;2509267.3392620054;2141551.508791126
2020-09-07;2;2500729.870699759;2290731.544528312;1782121.7466402054
2020-09-07;3;2384701.2274981346;2223680.0302006863;1563198.0788984846
2020-09-07;4;2337963.9790213383;2242488.716196243;1431663.360508348
2020-09-07;5;2335683.9711088976;2310894.457782648;1420685.5010041986
2020-09-07;6;2409613.526773017;2444750.4539109305;1622572.722268646
2020-09-07;7;2586481.303854822;2716894.9069027607;2076782.4088126488
2020-09-07;8;2935742.964433845;3114693.045445351;2683471.1588478764
2020-09-07;9;3482403.787784119;3724648.950007536;3232854.923320539
2020-09-07;10;3702174.137424946;3948555.1436003065;3534249.898786529
2020-09-07;11;3748820.0291898833;4012231.354902395;3537553.7721031383
2020-09-07;12;3805270.116261549;4067821.094420036;3349066.3483562768
2020-09-07;13;3732340.41693668;3918984.968165317;3140268.758198125
2020-09-07;14;3645227.681473814;3767549.694008133;3037639.458865185
2020-09-07;15;3715182.2971564415;3799420.887017146;3081429.364913833
2020-09-07;16;3777033.8844927778;3801365.17068672;3260740.288889857
2020-09-07;17;3933459.020503476;3880953.365683693;3558084.90436992
2020-09-07;18;4137621.732863131;3990689.039081364;3942970.4102675486
2020-09-07;19;4435744.718592248;4219120.958798423;4327916.030024084
2020-09-07;20;4565511.61126881;4320233.345214396;4557720.981237851
2020-09-07;21;4685700.411773431;4411483.800527523;4477804.625883924
2020-09-07;22;4355054.774773581;3952798.185729784;4042208.951372897
2020-09-07;23;3881208.6341822776;3443521.8572234428;3365576.969688601
2020-09-07;24;3369168.944635264;2924017.8559087976;2660678.8651254745
2020-09-08;1;2909570.032879107;2435570.976026795;2082797.9053472013
2020-09-08;2;2618151.018574618;2127772.057123529;1724151.914556421
2020-09-08;3;2463019.899975894;1984715.701320016;1506052.4449405004
2020-09-08;4;2384524.3092656927;1942848.3942401072;1375381.3102915518
2020-09-08;5;2355272.5639183125;1967372.9598756311;1365305.3017114275
2020-09-08;6;2405790.4799361536;2074968.7554620672;1568131.447111925
2020-09-08;7;2560835.542245498;2338650.6497388887;2023315.8635913555
2020-09-08;8;2887271.855456618;2745326.6655760426;2631013.810593976
2020-09-08;9;3407948.750491754;3380449.4465005705;3181439.8310553795
2020-09-08;10;3611483.016197311;3644227.257613849;3483908.6468986184
2020-09-08;11;3651449.752944389;3760442.81992392;3488316.40595269
2020-09-08;12;3706616.719440556;3878844.8080802737;3300961.312589686
2020-09-08;13;3640948.286809229;3800446.603597941;3093322.8377557863
2020-09-08;14;3565504.9556755368;3724286.6149982577;2991877.722708142
2020-09-08;15;3647335.867061425;3833453.466490994;3036875.1127285683
2020-09-08;16;3724649.513579364;3911976.9470451646;3217415.0007126653
2020-09-08;17;3898334.7108166073;4064872.107324886;3516008.193285636
2020-09-08;18;4122375.99435514;4242356.907098572;3902159.978327681
2020-09-08;19;4442869.577555978;4531038.717863367;4288387.627256121
2020-09-08;20;4596203.386726704;4683361.0967223;4519488.368084312
2020-09-08;21;4739240.479430867;4815679.085978791;4440879.538953237
2020-09-08;22;4422835.23003711;4387271.576905092;4006601.072552766
2020-09-08;23;3954750.3213378745;3897290.315793267;3331293.89884898
2020-09-08;24;3441450.3159534526;3386337.17040112;2627726.096235714
2020-09-09;1;2976454.474792;2896330.3919598907;2073108.753632281
2020-09-09;2;2679728.315372677;2577836.696279072;1715797.657511137
2020-09-09;3;2519816.162309189;2416205.3806280443;1499032.151590388
2020-09-09;4;2436178.24470248;2349344.845223602;1369691.8843197937
2020-09-09;5;2400999.9739806866;2344051.045375134;1360941.4757176368
2020-09-09;6;2445334.729709815;2418650.906865943;1565085.780529087
2020-09-09;7;2593790.635841336;2647787.2351740007;2021578.7443147905
2020-09-09;8;2912935.6074531963;3019908.190021478;2630573.460227597
2020-09-09;9;3423853.215766317;3621859.240890128;3182282.313856665
2020-09-09;10;3612959.5163857182;3855045.523822812;3486017.8824043134
2020-09-09;11;3637853.409708609;3944214.480676021;3491674.185181333
2020-09-09;12;3678577.23039948;4039824.517319015;3305547.317876799
2020-09-09;13;3601042.411397578;3943334.490567244;3099114.6661282885
2020-09-09;14;3516313.097476884;3853967.885300973;2998850.9128619693
2020-09-09;15;3589107.734424309;3954753.91902163;3045003.1754002064
2020-09-09;16;3659897.046946707;4029444.868656863;3226669.452547585
2020-09-09;17;3828109.585604577;4182594.9825431374;3526358.5940763974
2020-09-09;18;4048837.606688287;4363819.050637869;3913573.97150026
2020-09-09;19;4367860.456116145;4659023.436204196;4300830.983736048
2020-09-09;20;4526390.91405537;4819898.4480565;4532925.033199887
2020-09-09;21;4678388.117446901;4962037.868229989;4455271.682469849
2020-09-09;22;4378952.979384864;4543991.953646651;4021909.141807912
2020-09-09;23;3928786.730026276;4064251.595643517;3347476.6746435226
2020-09-09;24;3431435.668946516;3562853.7713547014;2644740.751632142
2020-09-10;1;2979100.521700112;3081268.007403708;2090910.9156625755
2020-09-10;2;2692262.8866452547;2769740.1659128456;1734341.471092261
2020-09-10;3;2540731.6392768803;2613429.7606020984;1518270.346314596
2020-09-10;4;2464459.5438639405;2550181.643337216;1389575.8435571126
2020-09-10;5;2435731.748059357;2546842.4895063723;1381421.3079089143
2020-09-10;6;2486296.9953358616;2621886.376304236;1586110.3927871075
2020-09-10;7;2641435.417128551;2850177.516170122;2043095.917905849
2020-09-10;8;2969031.008023813;3220434.9176321723;2652529.9281425285
2020-09-10;9;3490209.465279368;3819798.652002357;3204623.840088221
2020-09-10;10;3680693.961726659;4049967.364114808;3508689.342864881
2020-09-10;11;3701101.835543689;4135958.4803327583;3514619.65019447
2020-09-10;12;3735085.1383431777;4228458.187349236;3328710.1360293883
2020-09-10;13;3647024.617060607;4129097.0208065063;3122437.5493557346
2020-09-10;14;3550500.82140024;4037205.594123392;3022276.0226527783
2020-09-10;15;3611941.145209089;4135852.9837690415;3068472.209963821
2020-09-10;16;3670288.659456223;4208766.949302269;3250123.7348084464
2020-09-10;17;3825473.758465071;4360420.857631264;3549739.16030893
2020-09-10;18;4032379.4017924583;4540304.55514183;3936821.6605130425
2020-09-10;19;4336665.064873805;4834170.886483389;4323886.526427633
2020-09-10;20;4482123.335259804;4993545.436472945;4555729.142350194
2020-09-10;21;4622899.37848282;5133863.897340172;4477765.142604261
2020-09-10;22;4320801.019557494;4713541.951358287;4044032.898970862
2020-09-10;23;3873911.267348873;4230974.002767073;3369171.926036832
2020-09-10;24;3383812.2016587853;3726149.710747026;2665949.0348594123
2020-09-11;1;2940374.006449759;3240547.10795306;2111574.197276525
2020-09-11;2;2661718.463643132;2924477.9882198675;1754402.234910692
2020-09-11;3;2517957.7043041387;2763221.4985442343;1537671.6805461312
2020-09-11;4;2449838.847909086;2694786.879135069;1408261.5271498002
2020-09-11;5;2429980.8591783983;2686216.2585448204;1399335.895851134
2020-09-11;6;2490313.430354037;2756192.627515021;1603199.300090694
2020-09-11;7;2656853.4695463646;2979782.18780551;2059305.50239687
2020-09-11;8;2999101.3910265025;3345877.2206443558;2667807.571595681
2020-09-11;9;3540110.3572485936;3941740.681889877;3218918.027844956
2020-09-11;10;3747507.880556437;4169123.7535329433;3521949.7416332467
2020-09-11;11;3780663.105679055;4253009.359471468;3526797.184117519
2020-09-11;12;3825266.494044886;4343950.137240922;3339757.060598172
2020-09-11;13;3741587.1964456793;4243337.892059352;3132307.5233628787
2020-09-11;14;3645316.168444119;4150159.9369686944;3030924.1778200003
2020-09-11;15;3707162.972953007;4247045.327888452;3075855.218298679
2020-09-11;16;3761427.395585695;4317200.237281997;3256199.873478988
2020-09-11;17;3909936.0729246414;4464516.951364558;3554468.374034784
2020-09-11;18;4105439.006920353;4637872.90293834;3940165.6212880006
2020-09-11;19;4393064.188223153;4922410.189014791;4325808.6905184
2020-09-11;20;4512776.214937402;5069081.536134902;4556194.804479107
2020-09-11;21;4621763.974149043;5192825.215123609;4476741.4872553805
2020-09-11;22;4285896.173805065;4751671.70405998;4041489.048706529
2020-09-11;23;3810116.4322516033;4243776.261876811;3365078.986766472
2020-09-11;24;3298525.4106140644;3709064.231857794;2660280.13798878
2020-09-12;1;2840195.8775143204;3189145.887659321;2104304.5386971794
2020-09-12;2;2547678.3041661195;2834674.811584597;1745509.1107450638
2020-09-12;3;2388746.9736817395;2631484.4309633444;1527134.519610674
2020-09-12;4;2304602.2707711486;2518342.821571186;1396061.920081049
2020-09-12;5;2268215.605738658;2463236.3921589865;1385457.6208937888
2020-09-12;6;2308470.19808686;2485947.863641449;1587628.345462385
2020-09-12;7;2448272.698453456;2662758.6233393424;2042030.08519366
2020-09-12;8;2750374.6847462663;2983843.057452701;2648818.1533072107
2020-09-12;9;3234814.678367845;3537758.0509344502;3198207.326352953
2020-09-12;10;3416255.3563115094;3727501.309731276;3499512.739794827
2020-09-12;11;3442666.027940607;3779194.275510163;3502631.134730404
2020-09-12;12;3483649.1518439143;3844361.0957468897;3313861.4880472226
2020-09-12;13;3411662.550479744;3725143.712400264;3104684.2216698355
2020-09-12;14;3331367.893317329;3621011.423558415;3001577.205284201
2020-09-12;15;3398441.379453013;3714770.638192655;3044790.888682808
2020-09-12;16;3461277.632264508;3789476.393399307;3223426.743792009
2020-09-12;17;3613314.600972036;3948531.927033608;3519997.2288791235
2020-09-12;18;3811187.661312628;4139993.897404319;3904009.4539035656
2020-09-12;19;4096827.6064185584;4447874.1672611125;4287982.680421827
2020-09-12;20;4226898.371841832;4621723.820954079;4516716.292010137
2020-09-12;21;4346202.111127294;4774860.845752849;4435629.944701576
2020-09-12;22;4043994.743321512;4363542.451750085;3998766.048381693
2020-09-12;23;3604488.841882668;3884073.675539228;3320768.166032902
2020-09-12;24;3125885.2438612115;3374535.973265284;2614407.1610238533
2020-09-13;1;2693510.5985563057;2874789.033902772;2056897.0556839695
2020-09-13;2;2415341.89968652;2533915.907462723;1696596.7138227075
2020-09-13;3;2261575.756051788;2336442.040230119;1476748.696115982
2020-09-13;4;2176730.791420366;2220164.3397477483;1344236.0032495772
2020-09-13;5;2135302.648056453;2152497.134239671;1332226.7376964707
2020-09-13;6;2164321.6112278257;2153097.1108255414;1533029.3620290875
2020-09-13;7;2284605.511356712;2298594.5723539167;1986101.5498068265
2020-09-13;8;2553407.647423645;2579996.6092868787;2591600.237002088
2020-09-13;9;2987320.914579109;3087164.217380335;3139741.761319936
2020-09-13;10;3138547.418578839;3224836.783729608;3439842.755685664
2020-09-13;11;3147610.267006304;3221260.4413883016;3441801.3929015426
2020-09-13;12;3171846.7620078614;3230393.440647591;3251918.0139296832
2020-09-13;13;3096276.863324888;3057031.188801532;3041674.3353452096
2020-09-13;14;3017241.909975129;2903412.710233381;2937549.4504368263
2020-09-13;15;3076114.6833948903;2955118.3194946884;2979794.959961717
2020-09-13;16;3136209.637590492;2997864.656910543;3157513.4127848977
2020-09-13;17;3283240.648113664;3137488.273374862;3453218.268780596
2020-09-13;18;3479518.354128609;3324140.351345384;3836417.563038483
2020-09-13;19;3765565.718554451;3643488.3556386335;4219631.404766763
2020-09-13;20;3919168.9345406513;3846214.821232601;4447659.946659484
2020-09-13;21;4073017.104941307;4046178.701849284;4365923.534755052
2020-09-13;22;3837505.368952232;3699543.514707584;3928465.1890718993
2020-09-13;23;3469291.362904341;3301866.299530426;3249929.0023026844
2020-09-13;24;3056053.509934012;2889832.4635013626;2543086.2869490413
2020-09-14;1;2678022.998424766;2501290.026973224;1985151.4332642776
2020-09-14;2;2444362.4877455444;2282752.538363571;1624483.592011891
2020-09-14;3;2330910.746770368;2215699.3348368616;1404325.5297601828
2020-09-14;4;2285203.723132145;2234506.3363110726;1271560.372044789
2020-09-14;5;2282966.6738916514;2302910.398054737;1259356.265554947
2020-09-14;6;2355215.940450704;2436764.719019753;1460021.6368588924
2020-09-14;7;2527992.236815149;2708907.501528643;1913014.0436451924
2020-09-14;8;2869279.805944129;3106703.9742694823;2518490.2271089954
2020-09-14;9;3403405.0369055383;3716658.217711961;3066666.251799024
2020-09-14;10;3618302.366939421;3940562.754867921;3366858.400008459
2020-09-14;11;3664049.755620004;4004237.314416948;3368964.4176548016
2020-09-14;12;3719410.956921038;4059825.406866125;3179284.143516182
2020-09-14;13;3648408.026809211;3910987.638228385;2969298.718057583
2020-09-14;14;3563403.8446880924;3759550.7263744655;2865486.585786877
2020-09-14;15;3631914.696581888;3791420.286373873;2908098.6275769584
2020-09-14;16;3692564.796340967;3793362.9417218072;3086236.6028531566
2020-09-14;17;3845730.7649893607;3872949.5130859455;3382413.1141919214
2020-09-14;18;4045648.225541752;3982683.56754042;3766135.2732715257
2020-09-14;19;4337413.828350795;4211113.873004754;4149922.201707893
2020-09-14;20;4464612.857997939;4312224.649859298;4378573.002366538
2020-09-14;21;4582341.714437547;4403473.500303124;4297506.911295543
2020-09-14;22;4259322.905745392;3944786.2853290327;3860765.780468789
2020-09-14;23;3796171.276695143;3435508.361340113;3182992.478753988
2020-09-14;24;3295564.9598088246;2916002.769237482;2476957.041321643
2020-09-15;1;2846121.4107617447;2427554.303262904;1919872.529944484
2020-09-15;2;2561127.659054854;2119753.802963285;1560096.7182084718
2020-09-15;3;2409428.275240518;1976695.8704604576;1340870.9493158385
2020-09-15;4;2332697.2872957606;1934826.9913790808;1209076.8817628406
2020-09-15;5;2304143.2838710025;1959349.9897117903;1197881.1542070704
2020-09-15;6;2353626.80560354;2066944.2226948747;1399590.6467388335
2020-09-15;7;2505344.11813314;2330624.5590686053;1853661.335019752
2020-09-15;8;2824758.6287839096;2737299.0217037303;2460248.345100915
2020-09-15;9;3334197.747479198;3372420.2541280915;3009566.0962972585
2020-09-15;10;3533469.5741760675;3636196.521443859;3310929.198334156
2020-09-15;11;3572733.2684028395;3752410.544659868;3314233.699932449
2020-09-15;12;3626883.775531656;3870810.9984264025;3125777.720987109
2020-09-15;13;3562833.790444897;3792411.264259277;2917040.6641700463
2020-09-15;14;3489164.337418584;3716249.7506806194;2814499.220245654
2020-09-15;15;3569392.4799539605;3825415.081900975;2858402.503168057
2020-09-15;16;3645227.544922806;3903937.0468901447;3037850.49512364
2020-09-15;17;3815408.572104538;4056830.696313025;3335354.014043281
2020-09-15;18;4034916.404595925;4234313.9899388;3720418.382376599
2020-09-15;19;4348837.907527768;4522994.299265395;4105560.9306668527
2020-09-15;20;4499173.921827364;4675315.181396606;4335578.971763457
2020-09-15;21;4639400.401995214;4807631.678636622;4255889.955507715
2020-09-15;22;4329914.1122977175;4379222.682258463;3820533.9541776897
2020-09-15;23;3871882.883062118;3889239.9385549584;3144152.0661984663
2020-09-15;24;3369519.087127735;3378285.315284671;2439512.56819218
2020-09-16;1;2914371.2380432794;2888277.0636796;1883826.777919127
2020-09-16;2;2623937.56771585;2569781.899549996;1525450.7420454798
2020-09-16;3;2467446.851435424;2408149.120165995;1307624.0964675215
2020-09-16;4;2385638.415438548;2341287.125745144;1177226.8144408476
2020-09-16;5;2351282.2513656435;2335991.871597576;1167423.873876005
2020-09-16;6;2394792.66503447;2410590.283507348;1370520.5209227165
2020-09-16;7;2540267.2444773423;2639725.1669531697;1825971.1263464151
2020-09-16;8;2852929.630529146;3011844.6816579606;2433929.242597884
2020-09-16;9;3353433.871400239;3613794.29710421;2984607.7487698025
2020-09-16;10;3538808.1611062703;3846979.1493355166;3287319.7497950103
2020-09-16;11;3563355.9650742826;3936146.680209108;3291959.826954311
2020-09-16;12;3603416.4088655086;4031755.2955949767;3104824.6719832965
2020-09-16;13;3527646.4304494583;3935263.8523093;2897392.30042116
2020-09-16;14;3444803.2358076666;3845895.8352330746;2796138.058637054
2020-09-16;15;3516276.495676566;3946680.461868451;2841309.7604912245
2020-09-16;16;3585799.4769005124;4021370.009143803;3022006.1339823315
2020-09-16;17;3750791.0843558735;4174518.725396314;3320736.790068195
2020-09-16;18;3967264.4080616185;4355741.400584118;3707005.8927816814
2020-09-16;19;4280070.855803757;4650944.3979710685;4093329.664105076
2020-09-16;20;4435638.398858739;4811818.026372264;4324504.359194014
2020-09-16;21;4584801.858905341;4953956.067823616;4245946.422095663
2020-09-16;22;4291578.698825123;4535908.779247829;3811694.9721444026
2020-09-16;23;3850591.444817572;4056167.051982635;3136390.2084426247
2020-09-16;24;3363307.2162262187;3554767.8631628533;2432799.562601648
2020-09-17;1;2920088.3939301698;3073180.739412685;1878133.5624611827
2020-09-17;2;2639050.3847372746;2761651.5428551454;1520747.519962266
2020-09-17;3;2490623.4121427573;2605339.787210908;1303880.392245457
2020-09-17;4;2415962.4356264765;2542090.324346421;1174411.5299245445
2020-09-17;5;2387906.592480968;2538749.829650543;1165505.34447363
2020-09-17;6;2437587.79300852;2613792.38031864;1369466.5720337045
2020-09-17;7;2589797.786777862;2842082.188790703;1825749.1296619528
2020-09-17;8;2911115.9518884714;3212338.263595569;2434506.172296562
2020-09-17;9;3422273.4851072147;3811700.676045883;2985950.2376246965
2020-09-17;10;3609219.0527379215;4041868.070976458;3289394.144656637
2020-09-17;11;3629402.9209582782;4127857.874751204;3294732.244111419
2020-09-17;12;3662903.374777584;4220356.274063823;3108261.0518648
2020-09-17;13;3576721.3526357147;4120993.804557252;2901458.4616849967
2020-09-17;14;3482223.7615767755;4029101.079650982;2800799.751577612
2020-09-17;15;3542649.744979445;4127747.175814829;2846532.7196830995
2020-09-17;16;3600050.938114894;4200659.852608275;3027756.129989285
2020-09-17;17;3752449.2632501423;4352312.476940167;3326979.680224559
2020-09-17;18;3955601.3515241337;4532194.89519697;3713707.6709143487
2020-09-17;19;4254301.0977288345;4826059.952028763;4100456.50916557
2020-09-17;20;4397213.4050725205;4985433.232253207;4332022.682633945
2020-09-17;21;4535539.720494213;5125750.428100621;4253822.914002251
2020-09-17;22;4239361.486525958;4705427.221844882;3819896.646063569
2020-09-17;23;3801083.446948262;4222858.017726415;3144884.444741548
2020-09-17;24;3320361.439655028;3718032.474926362;2441554.1504214206
2020-09-18;1;2885376.5051859645;3232428.626100279;1887116.7399536436
2020-09-18;2;2612056.421150796;2916358.2650835;1529928.013326645
